Member Section,Mass,Moment (%),Shear (%),Connection,Design Capacity
200UB,18.2,100,50,"{'Cleat': {'Thickness': 16, 'Width': 130, 'Length': 350}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 52, 'Moment (Bottom)': 52, 'Shear': 92}"
200UB,22.3,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 65, 'Moment (Bottom)': 65, 'Shear': 105}"
200UB,25.4,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 75, 'Moment (Bottom)': 75, 'Shear': 122}"
200UB,29.8,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 91, 'Moment (Bottom)': 91, 'Shear': 135}"
250UB,25.7,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 430}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 92, 'Moment (Bottom)': 92, 'Shear': 129}"
250UB,31.4,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 440}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 114, 'Moment (Bottom)': 114, 'Shear': 159}"
250UB,37.3,100,50,"{'Cleat': {'Thickness': 25, 'Width': 180, 'Length': 470}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 140, 'Moment (Bottom)': 140, 'Shear': 170}"
310UB,32.0,100,50,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 480}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 134, 'Moment (Bottom)': 134, 'Shear': 170}"
310UB,40.4,100,50,"{'Cleat': {'Thickness': 25, 'Width': 180, 'Length': 520}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 182, 'Moment (Bottom)': 182, 'Shear': 192}"
310UB,46.2,100,50,"{'Cleat': {'Thickness': 25, 'Width': 180, 'Length': 520}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 197, 'Moment (Bottom)': 197, 'Shear': 213}"
360UB,44.7,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 570}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 222, 'Moment (Bottom)': 222, 'Shear': 252}"
360UB,50.7,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 570}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 242, 'Moment (Bottom)': 242, 'Shear': 269}"
360UB,56.7,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 570}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 271, 'Moment (Bottom)': 271, 'Shear': 298}"
410UB,53.7,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 620}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 305, 'Moment (Bottom)': 305, 'Shear': 317}"
410UB,59.7,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 620}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 324, 'Moment (Bottom)': 304, 'Shear': 328}"
460UB,67.1,100,50,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 670}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 400, 'Moment (Bottom)': 343, 'Shear': 399}"
460UB,74.6,100,50,"{'Cleat': {'Thickness': 32, 'Width': 200, 'Length': 670}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 448, 'Moment (Bottom)': 366, 'Shear': 431}"
460UB,82.1,100,50,"{'Cleat': {'Thickness': 32, 'Width': 250, 'Length': 700}, 'Bolts': {'Total Bolts': 6, 'Diameter': 30}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 497, 'Moment (Bottom)': 497, 'Shear': 473}"
530UB,82.0,100,50,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 740}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': '12', 'Web': 10}}","{'Moment Top': 556, 'Moment (Bottom)': 423, 'Shear': 526}"
530UB,92.4,100,50,"{'Cleat': {'Thickness': 32, 'Width': 250, 'Length': 780}, 'Bolts': {'Total Bolts': 6, 'Diameter': 30}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 640, 'Moment (Bottom)': 622, 'Shear': 564}"
610UB,101.0,100,50,"{'Cleat': {'Thickness': 32, 'Width': 250, 'Length': 850}, 'Bolts': {'Total Bolts': 6, 'Diameter': 30}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 783, 'Moment (Bottom)': 708, 'Shear': 662}"
610UB,113.0,100,50,"{'Cleat': {'Thickness': 32, 'Width': 250, 'Length': 850}, 'Bolts': {'Total Bolts': 6, 'Diameter': 30}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 829, 'Moment (Bottom)': 714, 'Shear': 661}"
610UB,125.0,100,50,"{'Cleat': {'Thickness': 32, 'Width': 270, 'Length': 860}, 'Bolts': {'Total Bolts': 6, 'Diameter': 30}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 927, 'Moment (Bottom)': 738, 'Shear': 708}"
200UB,18.2,50,25,"{'Cleat': {'Thickness': 16, 'Width': 130, 'Length': 350}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 52, 'Moment (Bottom)': 52, 'Shear': 92}"
200UB,22.3,50,25,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 360}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 65, 'Moment (Bottom)': 65, 'Shear': 105}"
200UB,25.4,50,25,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 360}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 65, 'Moment (Bottom)': 65, 'Shear': 122}"
200UB,29.8,50,25,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 360}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 67, 'Moment (Bottom)': 67, 'Shear': 135}"
250UB,25.7,50,25,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 400}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 81, 'Moment (Bottom)': 81, 'Shear': 129}"
250UB,31.4,50,25,"{'Cleat': {'Thickness': 16, 'Width': 180, 'Length': 410}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 85, 'Moment (Bottom)': 85, 'Shear': 159}"
250UB,37.3,50,25,"{'Cleat': {'Thickness': 16, 'Width': 180, 'Length': 410}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 87, 'Moment (Bottom)': 87, 'Shear': 170}"
310UB,32.0,50,25,"{'Cleat': {'Thickness': 16, 'Width': 180, 'Length': 450}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 102, 'Moment (Bottom)': 102, 'Shear': 170}"
310UB,40.4,50,25,"{'Cleat': {'Thickness': 16, 'Width': 180, 'Length': 460}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 105, 'Moment (Bottom)': 105, 'Shear': 192}"
310UB,46.2,50,25,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 490}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 167, 'Moment (Bottom)': 167, 'Shear': 213}"
360UB,44.7,50,25,"{'Cleat': {'Thickness': 16, 'Width': 200, 'Length': 540}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 176, 'Moment (Bottom)': 176, 'Shear': 252}"
360UB,50.7,50,25,"{'Cleat': {'Thickness': 16, 'Width': 200, 'Length': 540}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 178, 'Moment (Bottom)': 178, 'Shear': 269}"
360UB,56.7,50,25,"{'Cleat': {'Thickness': 16, 'Width': 200, 'Length': 540}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 180, 'Moment (Bottom)': 180, 'Shear': 298}"
410UB,53.7,50,25,"{'Cleat': {'Thickness': 16, 'Width': 200, 'Length': 590}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 203, 'Moment (Bottom)': 203, 'Shear': 317}"
410UB,59.7,50,25,"{'Cleat': {'Thickness': 16, 'Width': 200, 'Length': 590}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 205, 'Moment (Bottom)': 205, 'Shear': 328}"
460UB,67.1,50,25,"{'Cleat': {'Thickness': 16, 'Width': 200, 'Length': 640}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 231, 'Moment (Bottom)': 231, 'Shear': 370}"
460UB,74.6,50,25,"{'Cleat': {'Thickness': 20, 'Width': 200, 'Length': 640}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 251, 'Moment (Bottom)': 251, 'Shear': 370}"
460UB,82.1,50,25,"{'Cleat': {'Thickness': 20, 'Width': 250, 'Length': 640}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 262, 'Moment (Bottom)': 262, 'Shear': 370}"
530UB,82.0,50,25,"{'Cleat': {'Thickness': 20, 'Width': 250, 'Length': 710}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 10}}","{'Moment Top': 317, 'Moment (Bottom)': 317, 'Shear': 370}"
530UB,92.4,50,25,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 750}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 409, 'Moment (Bottom)': 409, 'Shear': 532}"
610UB,101.0,50,25,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 820}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 465, 'Moment (Bottom)': 465, 'Shear': 532}"
610UB,113.0,50,25,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 820}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 468, 'Moment (Bottom)': 468, 'Shear': 532}"
610UB,125.0,50,25,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 830}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'BW', 'Web': 10}}","{'Moment Top': 471, 'Moment (Bottom)': 471, 'Shear': 532}"
200US,18.2,70,35,"{'Cleat': {'Thickness': 16, 'Width': 130, 'Length': 350}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 52, 'Moment (Bottom)': 52, 'Shear': 92}"
200US,22.3,70,35,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 360}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 5}}","{'Moment Top': 65, 'Moment (Bottom)': 65, 'Shear': 105}"
200US,25.4,70,35,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 360}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 65, 'Moment (Bottom)': 65, 'Shear': 122}"
200US,29.8,70,35,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 390}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 91, 'Moment (Bottom)': 91, 'Shear': 135}"
250US,25.7,70,35,"{'Cleat': {'Thickness': 16, 'Width': 150, 'Length': 400}, 'Bolts': {'Total Bolts': 4, 'Diameter': 16}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 81, 'Moment (Bottom)': 81, 'Shear': 129}"
250US,31.4,70,35,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 440}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 114, 'Moment (Bottom)': 114, 'Shear': 159}"
250US,37.3,70,35,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 440}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 6}}","{'Moment Top': 139, 'Moment (Bottom)': 139, 'Shear': 170}"
310US,32.0,70,35,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 480}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '8', 'Web': 6}}","{'Moment Top': 134, 'Moment (Bottom)': 134, 'Shear': 170}"
310US,40.4,70,35,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 490}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 166, 'Moment (Bottom)': 166, 'Shear': 192}"
310US,46.2,70,35,"{'Cleat': {'Thickness': 20, 'Width': 180, 'Length': 490}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 6}}","{'Moment Top': 167, 'Moment (Bottom)': 167, 'Shear': 213}"
360US,44.7,70,35,"{'Cleat': {'Thickness': 20, 'Width': 200, 'Length': 540}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 198, 'Moment (Bottom)': 198, 'Shear': 252}"
360US,50.7,70,35,"{'Cleat': {'Thickness': 20, 'Width': 200, 'Length': 540}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '10', 'Web': 8}}","{'Moment Top': 199, 'Moment (Bottom)': 199, 'Shear': 269}"
360US,56.7,70,35,"{'Cleat': {'Thickness': 20, 'Width': 200, 'Length': 540}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 203, 'Moment (Bottom)': 203, 'Shear': 298}"
410US,53.7,70,35,"{'Cleat': {'Thickness': 20, 'Width': 200, 'Length': 590}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 230, 'Moment (Bottom)': 230, 'Shear': 317}"
410US,59.7,70,35,"{'Cleat': {'Thickness': 20, 'Width': 200, 'Length': 590}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 231, 'Moment (Bottom)': 231, 'Shear': 328}"
460US,67.1,70,35,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 640}, 'Bolts': {'Total Bolts': 4, 'Diameter': 20}, 'Fillet Welds': {'Flange': '12', 'Web': 8}}","{'Moment Top': 283, 'Moment (Bottom)': 283, 'Shear': 370}"
460US,74.6,70,35,"{'Cleat': {'Thickness': 25, 'Width': 200, 'Length': 670}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'SW', 'Web': 10}}","{'Moment Top': 336, 'Moment (Bottom)': 336, 'Shear': 431}"
460US,82.1,70,35,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 670}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'SW', 'Web': 10}}","{'Moment Top': 350, 'Moment (Bottom)': 350, 'Shear': 473}"
530US,82.0,70,35,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 740}, 'Bolts': {'Total Bolts': 4, 'Diameter': 24}, 'Fillet Welds': {'Flange': '12', 'Web': 10}}","{'Moment Top': 423, 'Moment (Bottom)': 423, 'Shear': 526}"
530US,92.4,70,35,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 750}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'SW', 'Web': 10}}","{'Moment Top': 544, 'Moment (Bottom)': 409, 'Shear': 532}"
610US,101.0,70,35,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 820}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'SW', 'Web': 10}}","{'Moment Top': 632, 'Moment (Bottom)': 465, 'Shear': 532}"
610US,113.0,70,35,"{'Cleat': {'Thickness': 25, 'Width': 250, 'Length': 820}, 'Bolts': {'Total Bolts': 6, 'Diameter': 24}, 'Fillet Welds': {'Flange': 'SW', 'Web': 10}}","{'Moment Top': 636, 'Moment (Bottom)': 468, 'Shear': 532}"
610US,125.0,70,35,"{'Cleat': {'Thickness': 32, 'Width': 250, 'Length': 860}, 'Bolts': {'Total Bolts': 6, 'Diameter': 30}, 'Fillet Welds': {'Flange': 'SW', 'Web': 10}}","{'Moment Top': 927, 'Moment (Bottom)': 720, 'Shear': 708}"
