Member,Mass,Width,Length,Thick.,Top,Bottom,Dia.,Flange,Web,Moment,Moment,Shear
200UB,18.2,130,350,16,4,4,16,8,5,52,52,92
200UB,22.3,150,360,16,4,4,16,8,5,65,65,105
200UB,25.4,150,360,16,4,4,16,8,6,65,65,122
200UB,29.8,180,390,20,4,4,20,10,6,91,91,135
250UB,25.7,150,400,16,4,4,16,8,6,81,81,129
250UB,31.4,180,440,20,4,4,20,10,6,114,114,159
250UB,37.3,180,440,20,4,4,20,12,6,139,139,170
310UB,32,180,480,20,4,4,20,8,6,134,134,170
310UB,40.4,180,490,20,4,4,20,10,6,166,166,192s
310UB,46.2,180,490,20,4,4,20,10,6,167,167,213
360UB,44.7,200,540,20,4,4,20,10,8,198,198,252
360UB,50.7,200,540,20,4,4,20,10,8,199,199,269
360UB,56.7,200,540,20,4,4,20,12,8,203,203,298
410UB,53.7,200,590,20,4,4,20,12,8,230,230,317
410UB,59.7,200,590,20,4,4,20,12,8,231,231,328
460UB,67.1,200,640,25,4,4,20,12,8,283,283,370
460UB,74.6,200,670,25,4,4,24,BW,10,336,336,431
460UB,82.1,250,670,25,4,4,24,BW,10,350,350,473
530UB,82,250,740,25,4,4,24,12,10,423,423,526
530UB,92.4,250,750,25,6,4,24,BW,10,544,409,532
610UB,101,250,820,25,4,6,24,BW,10,632,465,532
610UB,113,250,820,25,4,6,24,BW,10,636,468,532
610UB,125,250,860,32,6,4,30,BW,10,927,720,708
250UC,72.9,270,470,25,4,4,24,BW,10,186,186,226
250UC,89.5,270,470,36,4,4,24,BW,10,226,226,283
310UC,96.8,320,550,32,4,4,36,BW,12,421,421,316
310UC,118,320,560,32,4,4,36,BW,10,494,494,364
310UC,137,320,570,32,4,4,36,BW,12,523,523,431
310UC,158,330,570,32,4,4,36,BW,BW,533,533,499
700WB,115,270,910,25,4,6,24,BW,10,752,545,532
700WB,130,270,940,32,4,6,30,BW,10,1146,849,663
700WB,150,270,950,32,4,4,30,BW,10,1166,862,663
700WB,173,300,960,32,6,4,30,BW,10,1207,893,663
800WB,122,270,1010,25,6,4,24,BW,10,879,626,532
800WB,146,300,1040,25,4,6,30,BW,10,1175,861,763
800WB,168,300,1050,32,6,4,30,BW,10,1398,1018,763
800WB,192,310,1060,32,6,4,30,BW,10,1409,1027,763
900WB,175,310,1140,32,4,6,30,BW,12,1585,1143,856
900WB,218,360,1150,32,6,4,36,BW,12,2073,1508,873
900WB,257,410,1160,32,6,4,36,BW,12,2145,1564,873
900WB,282,410,1170,40,6,4,36,BW,12,2560,1862,873