Component family,Type,IFC ID,IFC link,Notes
Column,400WC328,-,na,Can't find
,400WC303,-,na,Can't find
,310UB40,1MqlONWM9DPguUA1H$xl7P,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300.ifc,
,100x6 SHS,3dHf1pWSP64PCQQAyxBjyF,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/RHS%2C%20SHS/IFC/Steel-RHS%2BSHS%20Section-Steel%20%26%20Tube-C350L0.ifc,
,150x6 SHS,3dHf1pWSP64PCQQAyxBjal,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/RHS%2C%20SHS/IFC/Steel-RHS%2BSHS%20Section-Steel%20%26%20Tube-C350L0.ifc,
,380PFC,2fIFJzvunE$wxP5FLhOmh5,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/PFC/IFC/Column-Steel-PFC%20Parallel%20Flange%20Channel-Steel%20%26%20Tube-300.ifc,
Beam,530UB92,2fIFJzvunE$wxP5FLhOmxT,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Column-Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic
,460UB67,2fIFJzvunE$wxP5FLhOmxT,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Column-Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic
,410UB60,2fIFJzvunE$wxP5FLhOmtO,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Column-Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic
,410UB54,2fIFJzvunE$wxP5FLhOmt$,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Column-Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic
,360UB57,2fIFJzvunE$wxP5FLhOmsA,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Column-Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic
,360UB57/530UB92,-,-,
,360UB51,2fIFJzvunE$wxP5FLhOmsd,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Column-Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic
,730UB109,-,,Can't find
,530UB92/730UB109,-,,Can't find
,250UB26,1MqlONWM9DPguUA1H$xlCD,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300.ifc,
,380PFC,2fIFJzvunE$wxP5FLhOmh5,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/PFC/IFC/Column-Steel-PFC%20Parallel%20Flange%20Channel-Steel%20%26%20Tube-300.ifc,
,310UB40,1MqlONWM9DPguUA1H$xl7P,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Beams/IFC/Steel-UB%20Universal%20Beam-Steel%20%26%20Tube-300.ifc,
,250PFC,2fIFJzvunE$wxP5FLhOmhr,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/PFC/IFC/Column-Steel-PFC%20Parallel%20Flange%20Channel-Steel%20%26%20Tube-300.ifc,
,200x5 SHS,3dHf1pWSP64PCQQAyxBjMI,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/RHS%2C%20SHS/IFC/Steel-RHS%2BSHS%20Section-Steel%20%26%20Tube-C350L0.ifc,
,230PFC,2fIFJzvunE$wxP5FLhOmg1,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/PFC/IFC/Column-Steel-PFC%20Parallel%20Flange%20Channel-Steel%20%26%20Tube-300.ifc,
,125x6 SHS,3dHf1pWSP64PCQQAyxBjjb,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/RHS%2C%20SHS/IFC/Steel-RHS%2BSHS%20Section-Steel%20%26%20Tube-C350L0.ifc,
,310UC97,2wkOofrcL0AetkSEOhaq6m,https://steelandtube.co.nz/sites/default/files/bimspec-category/Hot%20Rolled%20Steel/Columns/IFC/Steel-UC%20Universal%20Column-Steel%20%26%20Tube-300%20S0%20%28seismic%29.ifc,Grade is seismic